Group / countries,Latitude,Longitude,Average yearly temperature,Average yearly relative humidity
Sub-saharan africa,-4.2694,15.2712,25.978,78.215
Other eurasia,39.9208,32.854,14.049,59.94
Other latin america,4.6534,-74.0837,14.377,78.215
Middle east,30.0444,31.2357,24.207,48.592
Other Asia pacific,1.3571,103.8195,26.579,86.658
Argentina,-34.6084,-58.4441,17.62,73.042
Australia,-35.2931,149.1269,13.755,73.693
Belgium,50.8467,4.3517,11.824,81.077
Brazil,-15.7939,-47.8828,22.067,65.315
Canada,45.4247,-75.695,8.614,74.891
China,40.1906,116.4121,13.375,55.444
Denmark,55.6761,12.5689,10.05,81.598
Egypt,30.0444,31.2358,24.207,48.592
Finland,60.1708,24.9375,7.031,84.707
France,48.8567,2.3522,12.447,80.349
Germany,52.5109,13.3989,11.873,75.1
Iceland,64.1475,-21.935,3.999,79.843
India,28.6139,77.209,24.922,60.936
Indonesia,-6.1754,106.8272,27.358,80.642
Iran,35.6889,51.3897,17.991,36.76
Ireland,53.3497,-6.2603,10.917,81.773
Italy,41.8931,12.4828,17.247,73.326
Japan,35.6769,139.7639,16.62,73.845
Malaysia,3.1527,101.7022,26.885,83.261
Mexico,19.3208,-99.1515,17.399,55.05
Netherlands,52.3728,4.8936,11.433,82.556
New Zealand,-41.2889,174.7772,13.709,78.282
Norway,59.9133,10.739,7.057,80.891
Pakistan,33.6989,73.0369,21.853,58.562
Poland,52.23,21.0111,11.303,74.891
Portugal,38.7078,-9.1366,17.52,74.91
Russia,55.6256,37.6064,6.79,75.421
Saudi Arabia,24.65,46.71,27.633,26.367
South Africa,-25.7464,28.1881,19.711,47.598
South Korea,37.5667,126.9783,13.149,72.809
Spain,40.4169,-3.7033,15.643,60.924
Sweden,59.3294,18.0686,8.003,80.517
Switzerland,46.948,7.4474,10.331,79.775
United Kingdom,51.5072,-0.1275,11.816,79.585
United States,38.895,-77.0365,14.715,70.638
