country,region
Afghanistan,Middle east
Albania,Other eurasia
Algeria,Middle east
Andorra,Other eurasia
Angola,Sub-saharan africa
Antigua & Barbuda,Other latin america
Argentina,Argentina
Armenia,Other eurasia
Australia,Australia
Austria,Other eurasia
Azerbaijan,Other eurasia
Bahamas,Other latin america
Bahrain,Middle east
Bangladesh,Other Asia pacific
Barbados,Other latin america
Belarus,Other eurasia
Belgium,Belgium
Belize,Other latin america
Benin,Sub-saharan africa
Bhutan,Other Asia pacific
Bolivia,Other latin america
Bosnia & Herzegovina,Other eurasia
Botswana,Sub-saharan africa
Brazil,Brazil
Brunei,Other Asia pacific
Bulgaria,Other eurasia
Burkina Faso,Sub-saharan africa
Burundi,Sub-saharan africa
Cabo Verde,Sub-saharan africa
Cambodia,Other Asia pacific
Cameroon,Sub-saharan africa
Canada,Canada
Central African Republic,Sub-saharan africa
Chad,Sub-saharan africa
Chile,Other latin america
China,China
Colombia,Other latin america
Comoros,Sub-saharan africa
Congo,Sub-saharan africa
Costa Rica,Other latin america
Croatia,Other eurasia
Cuba,Other latin america
Cyprus,Other eurasia
Czech Republic,Other eurasia
Denmark,Denmark
Djibouti,Sub-saharan africa
Dominica,Sub-saharan africa
Dominican Republic,Sub-saharan africa
DR Congo,Sub-saharan africa
Ecuador,Other latin america
Egypt,Egypt
El Salvador,Other latin america
Equatorial Guinea,Sub-saharan africa
Eritrea,Sub-saharan africa
Estonia,Other eurasia
Eswatini,Sub-saharan africa
Ethiopia,Sub-saharan africa
Falkland Is.,Other latin america
Fiji,Other Asia pacific
Finland,Finland
France,France
Gabon,Sub-saharan africa
Gambia,Sub-saharan africa
Georgia,Other eurasia
Germany,Germany
Ghana,Sub-saharan africa
Greece,Other eurasia
Grenada,Other latin america
Guatemala,Other latin america
Guinea,Sub-saharan africa
Guinea-Bissau,Sub-saharan africa
Guyana,Other latin america
Haiti,Other latin america
Honduras,Other latin america
Hungary,Other eurasia
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Middle east
Ireland,Ireland
Israel,Middle east
Italy,Italy
Ivory Coast,Sub-saharan africa
Jamaica,Other latin america
Japan,Japan
Jordan,Middle east
Kazakhstan,Other eurasia
Kenya,Sub-saharan africa
Kiribati,Other Asia pacific
Kosovo,Other eurasia
Kuwait,Middle east
Kyrgyzstan,Other eurasia
Laos,Other Asia pacific
Latvia,Other eurasia
Lebanon,Middle east
Lesotho,Sub-saharan africa
Liberia,Sub-saharan africa
Libya,Middle east
Liechtenstein,Other eurasia
Lithuania,Other eurasia
Luxembourg,Other eurasia
Madagascar,Sub-saharan africa
Malawi,Sub-saharan africa
Malaysia,Malaysia
Maldives,Other Asia pacific
Mali,Sub-saharan africa
Malta,Other eurasia
Marshall Islands,Oceania
Mauritania,Sub-saharan africa
Mauritius,Sub-saharan africa
Mexico,Mexico
Micronesia,Oceania
Moldova,Other eurasia
Monaco,Other eurasia
Mongolia,Other Asia pacific
Montenegro,Other eurasia
Morocco,Middle east
Mozambique,Sub-saharan africa
Myanmar,Other Asia pacific
Namibia,Sub-saharan africa
Nauru,Oceania
Nepal,Other Asia pacific
Netherlands,Netherlands
New Caledonia,Oceania
New Zealand,New Zealand
Nicaragua,Other latin america
Niger,Sub-saharan africa
Nigeria,Sub-saharan africa
North Korea,Others
North Macedonia,Other eurasia
Norway,Norway
Oman,Middle east
Pakistan,Pakistan
Palau,Oceania
Palestine,Middle east
Panama,Other latin america
Papua New Guinea,Other Asia pacific
Paraguay,Other latin america
Peru,Other latin america
Philippines,Other Asia pacific
Poland,Poland
Portugal,Portugal
Puerto Rico,Other latin america
Qatar,Middle east
Romania,Other eurasia
Russia,Russia
Rwanda,Sub-saharan africa
Saint Kitts & Nevis,Other latin america
Saint Lucia,Other latin america
Samoa,Oceania
San Marino,Other eurasia
Sao Tome & Principe,Sub-saharan africa
Saudi Arabia,Saudi Arabia
Senegal,Sub-saharan africa
Serbia,Other eurasia
Seychelles,Sub-saharan africa
Sierra Leone,Sub-saharan africa
Singapore,Other Asia pacific
Slovakia,Other eurasia
Slovenia,Other eurasia
Solomon Islands,Oceania
Somalia,Sub-saharan africa
South Africa,South Africa
South Korea,South Korea
South Sudan,Sub-saharan africa
Spain,Spain
Sri Lanka,Other Asia pacific
St. Vincent & Grenadines,Other latin america
Sudan,Middle east
Suriname,Other latin america
Sweden,Sweden
Switzerland,Switzerland
Syria,Middle east
Taiwan,Other Asia pacific
Tajikistan,Other eurasia
Tanzania,Sub-saharan africa
Thailand,Other Asia pacific
Timor-Leste,Other Asia pacific
Togo,Sub-saharan africa
Tonga,Oceania
Trinidad & Tobago,Other latin america
Tunisia,Middle east
Turkey,Other eurasia
Turkmenistan,Other eurasia
Tuvalu,Oceania
Uganda,Sub-saharan africa
Ukraine,Other eurasia
United Arab Emirates,Middle east
United Kingdom,United Kingdom
United States,United States
Uruguay,Other latin america
Uzbekistan,Other eurasia
Vanuatu,Oceania
Venezuela,Other latin america
Vietnam,Other Asia pacific
W. Sahara,Sub-saharan africa
Yemen,Middle east
Zambia,Sub-saharan africa
Zimbabwe,Sub-saharan africa
